train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,288,,,955.9744262695312,781187904.0,390594912.0,,,,,,
,,289,,,955.9666137695312,746720896.0,373361408.0,,,,,,
,,290,,,955.97216796875,702248064.0,351124992.0,,,,,,
,,291,,,955.9735717773438,837606144.0,418804032.0,,,,,,
,,292,,,955.9806518554688,696560576.0,348281248.0,,,,,,
,,293,,,955.9707641601562,631710976.0,315856448.0,,,,,,
,,294,,,955.9678344726562,963725376.0,481863648.0,,,,,,
,,295,,,955.9756469726562,778315264.0,389158592.0,,,,,,
,,296,,,955.9702758789062,846834048.0,423417984.0,,,,,,
,,297,,,955.9761962890625,792298624.0,396150272.0,,,,,,
,,298,,,955.9693603515625,930629888.0,465315904.0,,,,,,
,,299,,,955.9763793945312,729749440.0,364875680.0,,,,,,
,14,1199,,,,,,955.9715576171875,796257920.0,398129920.0,,,
,14,1199,,,,,,,,,395265120.0,790528192.0,972.8506469726562
337587200.0,15,1249,738.6014404296875,675172928.0,,,,,,,,,
,,300,,,722.9495239257812,786448192.0,393224832.0,,,,,,
,,301,,,722.951416015625,872600192.0,436300832.0,,,,,,
,,302,,,722.9431762695312,849710016.0,424855744.0,,,,,,
,,303,,,722.9484252929688,734592192.0,367296832.0,,,,,,
,,304,,,722.95263671875,677993856.0,338997664.0,,,,,,
,,305,,,722.9429931640625,770999168.0,385500320.0,,,,,,
,,306,,,722.947021484375,912770560.0,456386016.0,,,,,,
,,307,,,722.947998046875,811138816.0,405570144.0,,,,,,
,,308,,,722.9515380859375,772438208.0,386219840.0,,,,,,
,,309,,,722.9466552734375,738416384.0,369208928.0,,,,,,
,,310,,,722.94873046875,694028608.0,347015040.0,,,,,,
,,311,,,722.9494018554688,828528704.0,414265088.0,,,,,,
,,312,,,722.9555053710938,688535616.0,344268544.0,,,,,,
,,313,,,722.9480590820312,624090304.0,312045888.0,,,,,,
,,314,,,722.9474487304688,953668160.0,476834816.0,,,,,,
,,315,,,722.9527587890625,769611520.0,384806496.0,,,,,,
